institution.displayName,institution.schoolType,ranking.sortRank,searchData.enrollment.rawValue,searchData.acceptanceRate.rawValue,searchData.hsGpaAvg.rawValue,searchData.satAvg.displayValue,searchData.engineeringRepScore.rawValue,searchData.businessRepScore.rawValue,searchData.computerScienceRepScore.rawValue
Occidental College,national-liberal-arts-colleges,37,1964,38.0,3.6,1340-1490,,,
Oglethorpe University,national-liberal-arts-colleges,-1,1446,81.0,3.7,1070-1280,,,
The Ohio State University,national-universities,49,47106,57.0,,1250-1440,3.7,4.0,3.8
Ohio University,national-universities,182,18031,89.0,3.6,1070-1290,2.3,2.7,2.4
Ohio Wesleyan University,national-liberal-arts-colleges,111,1339,74.0,3.7,1213-1388,,,
Oklahoma City University,national-universities,234,1430,69.0,,1080-1263,,< 2.0,
Oklahoma State University,national-universities,182,20197,68.0,3.6,1050-1250,2.6,3.2,2.7
Old Dominion University,national-universities,299,18678,96.0,3.3,1020-1220,2.2,2.8,2.5
Oral Roberts University,national-universities,-1,4136,88.0,3.5,998-1210,2.1,,
Oregon State University,national-universities,151,27562,89.0,3.6,1120-1360,2.9,3.0,3.2
Ouachita Baptist University,national-liberal-arts-colleges,-1,1716,74.0,3.7,1070-1290,,< 2.0,
Our Lady of the Lake University,national-universities,-1,1217,66.0,3.5,890-1070,,,
Pace University,national-universities,234,8260,88.0,3.4,1120-1310,,2.6,2.0
Pacific University,national-universities,194,1741,91.0,3.7,1090-1310,,,
Paine College,national-liberal-arts-colleges,-2,189,75.0,,776-976,,,
Palm Beach Atlantic University,national-universities,-1,2837,90.0,,1030-1240,,,
The Pennsylvania State University--University Park,national-universities,77,40600,58.0,,1200-1400,3.8,3.8,3.8
Pepperdine University,national-universities,55,3708,53.0,3.7,1260-1440,,3.2,
Pillar College,national-liberal-arts-colleges,-1,414,,,,,,
Pitzer College,national-liberal-arts-colleges,33,1185,18.0,3.9,1390-1513,,,
Point Park University,national-universities,263,2575,82.0,3.5,1025-1220,< 2.0,,
